# %ECSV 0.9
# ---
# datatype:
# - {name: Wavelength, unit: micron, datatype: float64}
# - {name: Transmission, datatype: float64}
# - {name: Radiance, unit: W / (m2 micron sr), datatype: float64}
# - {name: dtr/dh, unit: 1 / m, datatype: float64}
# - {name: dradiance/dh, unit: W / (m3 micron sr), datatype: float64}
# delimiter: ','
# meta: !!omap
# - __serialized_columns__:
#     Radiance:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: W / (m2 micron sr)}
#       value: !astropy.table.SerializedColumn {name: Radiance}
#     Transmission:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: ''}
#       value: !astropy.table.SerializedColumn {name: Transmission}
#     Wavelength:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: micron}
#       value: !astropy.table.SerializedColumn {name: Wavelength}
#     dradiance/dh:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: W / (m3 micron sr)}
#       value: !astropy.table.SerializedColumn {name: dradiance/dh}
#     dtr/dh:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: 1 / m}
#       value: !astropy.table.SerializedColumn {name: dtr/dh}
# schema: astropy-2.0
Wavelength,Transmission,Radiance,dtr/dh,dradiance/dh
0.5,0.9982875,0.2515127999999999,3.1524999999998917e-07,-3.56476e-05
0.5001250312578144,0.998281,0.25056547026817494,3.16380000000005e-07,-3.55134366207e-05
0.5002501250625313,0.99827516,0.24972368889339996,3.181100000000381e-07,-3.539377965730001e-05
0.5003752814610959,0.99826843,0.24897811226049996,3.201999999999927e-07,-3.528820807942498e-05
0.5005005005005005,0.99826092,0.24838208967959996,3.2127000000004015e-07,-3.5203487273999966e-05
0.5006257822277848,0.99825406,0.24788233028624995,3.223400000000876e-07,-3.513200503124997e-05
0.5007511266900351,0.99824715,0.24735546062319996,3.244900000000106e-07,-3.5057390716299985e-05
0.5008765339343852,0.99824035,0.24692429105932498,3.26570000000026e-07,-3.499639035254995e-05
0.501002004008016,0.9982332,0.24655401737279994,3.283000000000591e-07,-3.4943804336e-05
0.5011275369581559,0.99822569,0.24617804870359997,3.2997000000001274e-07,-3.4890063228475013e-05
0.5012531328320802,0.99821818,0.245831020155,3.316999999999348e-07,-3.484074084749997e-05
0.5013787916771121,0.99821144,0.24539354763779997,3.338999999999981e-07,-3.4778725066675006e-05
0.5015045135406219,0.99820495,0.2452212250928,3.3576000000001825e-07,-3.4754133072399914e-05
0.5016302984700276,0.9981972,0.24507839074905,3.3695000000000255e-07,-3.473352666922494e-05
0.5017561465127948,0.99819034,0.2450940919303,3.3961999999998493e-07,-3.473556850499995e-05
0.5018820577164367,0.99818295,0.24504020886812497,3.412299999999702e-07,-3.472767004124996e-05
0.5020080321285141,0.99817646,0.24516762785279997,3.4291000000008507e-07,-3.474595560959995e-05
0.5021340697966357,0.99816924,0.24542649993837498,3.443300000000038e-07,-3.478205702527495e-05
0.5022601707684581,0.99816275,0.24577619326479996,3.464899999999771e-07,-3.483119052269998e-05
0.5023863350916855,0.99815583,0.24617417624909999,3.4796999999997524e-07,-3.488778948734994e-05
0.5025125628140703,0.99814922,0.2467815517,3.491699999998987e-07,-3.497362314999996e-05
0.5026388539834129,0.99814248,0.24739455657779996,3.510700000000089e-07,-3.5059753161424955e-05
0.5027652086475616,0.99813575,0.24800724742949998,3.525699999999965e-07,-3.514697018819995e-05
0.5028916268544129,0.9981299,0.24845671368907496,3.544600000000564e-07,-3.5210361446574964e-05
0.5030181086519114,0.99812382,0.24883133359839996,3.562499999999469e-07,-3.526300484000003e-05
0.5031446540880503,0.99811822,0.24913674970312497,3.577499999999345e-07,-3.5306496562499985e-05
0.5032712632108707,0.99811268,0.24942991956089997,3.596000000000155e-07,-3.534756224009997e-05
0.5033979360684622,0.99810755,0.24962562367937496,3.5994999999999777e-07,-3.5374761543674974e-05
0.5035246727089627,0.99810249,0.24977133915479996,3.615699999999222e-07,-3.53956093236e-05
0.503651473180559,0.99809748,0.24990656327312497,3.6263999999996964e-07,-3.541484578087497e-05
0.5037783375314862,0.99809307,0.25002264312749994,3.6383000000006495e-07,-3.543089722249998e-05
0.5039052658100277,0.99808872,0.2502168819317999,3.648400000000329e-07,-3.545833991490005e-05
0.5040322580645161,0.99808449,0.25034076446719994,3.6585999999994015e-07,-3.547550720000003e-05
0.5041593143433325,0.99808037,0.25042193669365,3.67160000000033e-07,-3.548752912222497e-05
0.5042864346949066,0.99807715,0.25050175199819996,3.679899999999847e-07,-3.549795248969995e-05
0.5044136191677175,0.99807364,0.25058610770374995,3.688400000000369e-07,-3.551031696875001e-05
0.5045408678102926,0.99807137,0.2505131498039999,3.698400000000657e-07,-3.549987115560005e-05
0.5046681806712087,0.99806786,0.25036713991349996,3.7021000000003746e-07,-3.5478821205225e-05
0.5047955577990914,0.99806577,0.25018272298319993,3.7085999999997287e-07,-3.545267727400003e-05
0.5049229992426155,0.9980638,0.24991367315269997,3.7138999999997146e-07,-3.5414779039224965e-05
0.5050505050505051,0.99806267,0.24953149979999997,3.72170000000005e-07,-3.536083187999997e-05
0.5051780752715332,0.9980616,0.24913590238917496,3.7182000000002266e-07,-3.530457461047495e-05
0.5053057099545225,0.99806094,0.24877664040509997,3.719899999999887e-07,-3.5253843661499944e-05
0.5054334091483447,0.99806041,0.24860240869657496,3.718799999999911e-07,-3.5228985911324954e-05
0.5055611729019212,0.99806172,0.24842825780919997,3.7265000000008544e-07,-3.5204531032e-05
